date,capacity,usable,level,storage,pct,inflow,release
1977-01-01,9510,4875.0,0.0,7725.0,81.23,0.0,0.0
1977-01-02,9510,4870.4,0.0,7720.4,81.18,5.89,0.0
1977-01-03,9510,4865.8,0.0,7715.8,81.13,7.75,0.0
1977-01-04,9510,4861.2,0.0,7711.2,81.09,17.45,0.0
1977-01-05,9510,4856.6,0.0,7706.6,81.04,16.81,0.0
1977-01-06,9510,4851.99,0.0,7701.99,80.99,11.9,0.0
1977-01-07,9510,4847.39,0.0,7697.39,80.94,10.2,0.0
1977-01-08,9510,4840.5,0.0,7690.5,80.87,8.19,0.0
1977-01-09,9510,4831.3,0.0,7681.3,80.77,2.62,0.0
1977-01-10,9510,4822.09,0.0,7672.09,80.67,7.82,0.0
1977-01-11,9510,4812.9,0.0,7662.9,80.58,9.22,0.0
1977-01-12,9510,4799.1,0.0,7649.1,80.43,5.93,0.0
1977-01-13,9510,4782.99,0.0,7632.99,80.26,4.27,0.0
1977-01-14,9510,4773.8,0.0,7623.8,80.17,15.59,0.0
1977-01-15,9510,4748.5,0.0,7598.5,79.9,0.0,0.0
1977-01-16,9510,4741.6,0.0,7591.6,79.83,3.01,0.0
1977-01-17,9510,4730.1,0.0,7580.1,79.71,6.47,0.0
1977-01-18,9510,4713.99,0.0,7563.99,79.54,5.63,0.0
1977-01-19,9510,4700.2,0.0,7550.2,79.39,5.37,0.0
1977-01-20,9510,4693.3,0.0,7543.3,79.32,5.08,0.0
1977-01-21,9510,4677.2,0.0,7527.2,79.15,2.14,0.0
1977-01-22,9510,4661.1,0.0,7511.1,78.98,7.23,0.0
1977-01-23,9510,4651.9,0.0,7501.9,78.88,4.23,0.0
1977-01-24,9510,4631.2,0.0,7481.2,78.67,0.86,0.0
1977-01-25,9510,4619.69,0.0,7469.69,78.55,9.42,0.0
1977-01-26,9510,4601.3,0.0,7451.3,78.35,3.11,0.0
1977-01-27,9510,4585.2,0.0,7435.2,78.18,7.6,0.0
1977-01-28,9510,4564.5,0.0,7414.5,77.97,3.19,0.0
1977-01-29,9510,4550.7,0.0,7400.7,77.82,5.2,0.0
1977-01-30,9510,4541.5,0.0,7391.5,77.72,4.41,0.0
1977-01-31,9510,4523.09,0.0,7373.09,77.53,5.76,0.0
1977-02-01,9510,4497.79,0.0,7347.79,77.26,0.0,0.0
1977-02-02,9510,4483.99,0.0,7333.99,77.12,10.48,0.0
1977-02-03,9510,4467.9,0.0,7317.9,76.95,8.08,0.0
1977-02-04,9510,4447.2,0.0,7297.2,76.73,0.93,0.0
1977-02-05,9510,4417.3,0.0,7267.3,76.42,3.0,0.0
1977-02-06,9510,4394.3,0.0,7244.3,76.18,0.03,0.0
1977-02-07,9510,4373.6,0.0,7223.6,75.96,6.74,0.0
1977-02-08,9510,4350.6,0.0,7200.6,75.72,2.39,0.0
1977-02-09,9510,4332.2,0.0,7182.2,75.52,4.46,0.0
1977-02-10,9510,4313.8,0.0,7163.8,75.33,0.78,0.0
1977-02-11,9510,4297.5,0.0,7147.5,75.16,4.56,0.0
1977-02-12,9510,4277.5,0.0,7127.5,74.95,4.47,0.0
1977-02-13,9510,4264.99,0.0,7114.99,74.82,1.81,0.0
1977-02-14,9510,4247.5,0.0,7097.5,74.63,5.1,0.0
1977-02-15,9510,4229.99,0.0,7079.99,74.45,1.88,0.0
1977-02-16,9510,4214.99,0.0,7064.99,74.29,2.96,0.0
1977-02-17,9510,4202.5,0.0,7052.5,74.16,0.0,0.0
1977-02-18,9510,4194.99,0.0,7044.99,74.08,3.76,0.0
1977-02-19,9510,4187.5,0.0,7037.5,74.0,2.77,0.0
1977-02-20,9510,4179.99,0.0,7029.99,73.92,3.53,0.0
1977-02-21,9510,4159.99,0.0,7009.99,73.71,2.44,0.0
1977-02-22,9510,4149.99,0.0,6999.99,73.61,2.25,0.0
1977-02-23,9510,4139.99,0.0,6989.99,73.5,3.28,0.0
1977-02-24,9510,4117.5,0.0,6967.5,73.26,0.36,0.0
1977-02-25,9510,4092.5,0.0,6942.5,73.0,0.82,0.0
1977-02-26,9510,4062.5,0.0,6912.5,72.69,0.34,0.0
1977-02-27,9510,4044.99,0.0,6894.99,72.5,0.0,0.0
1977-02-28,9510,4046.99,0.0,6896.99,72.52,0.0,0.0
1977-03-01,9510,3999.99,0.0,6849.99,72.03,0.0,0.0
1977-03-02,9510,3982.5,0.0,6832.5,71.85,2.19,0.0
1977-03-03,9510,3959.97,0.0,6809.97,71.61,5.56,0.0
1977-03-04,9510,3942.5,0.0,6792.5,71.42,0.0,0.0
1977-03-05,9510,3917.5,0.0,6767.5,71.16,2.71,0.0
1977-03-06,9510,3897.5,0.0,6747.5,70.95,0.0,0.0
1977-03-07,9510,3872.5,0.0,6722.5,70.69,2.03,0.0
1977-03-08,9510,3852.5,0.0,6702.5,70.48,0.0,0.0
1977-03-09,9510,3829.99,0.0,6679.99,70.24,3.36,0.0
1977-03-10,9510,3809.99,0.0,6659.99,70.03,0.0,0.0
1977-03-11,9510,3791.8,0.0,6641.8,69.84,2.33,0.0
1977-03-12,9510,3771.3,0.0,6621.3,69.62,5.5,0.0
1977-03-13,9510,3758.99,0.0,6608.99,69.5,3.75,0.0
1977-03-14,9510,3738.5,0.0,6588.5,69.28,8.67,0.0
1977-03-15,9510,3717.99,0.0,6567.99,69.06,5.66,0.0
1977-03-16,9510,3703.65,0.0,6553.65,68.91,7.15,0.0
1977-03-17,9510,3685.2,0.0,6535.2,68.72,11.47,0.0
1977-03-18,9510,3666.75,0.0,6516.75,68.53,2.59,0.0
1977-03-19,9510,3646.25,0.0,6496.25,68.31,1.94,0.0
1977-03-20,9510,3631.9,0.0,6481.9,68.16,4.92,0.0
1977-03-21,9510,3617.55,0.0,6467.55,68.01,5.63,0.0
1977-03-22,9510,3597.05,0.0,6447.05,67.79,8.59,0.0
1977-03-23,9510,3578.13,0.0,6428.13,67.59,2.77,0.0
1977-03-24,9510,3553.99,0.0,6403.99,67.34,8.2,0.0
1977-03-25,9510,3529.4,0.0,6379.4,67.08,8.76,0.0
1977-03-26,9510,3506.85,0.0,6356.85,66.84,8.11,0.0
1977-03-27,9510,3496.6,0.0,6346.6,66.74,4.62,0.0
1977-03-28,9510,3465.85,0.0,6315.85,66.41,5.83,0.0
1977-03-29,9510,3443.3,0.0,6293.3,66.18,3.0,0.0
1977-03-30,9510,3418.7,0.0,6268.7,65.92,4.8,0.0
1977-03-31,9510,3402.3,0.0,6252.3,65.74,2.82,0.0
1977-04-01,9510,3394.1,0.0,6244.1,65.66,0.0,0.0
1977-04-02,9510,3381.2,0.0,6231.2,65.52,5.47,0.0
1977-04-03,9510,3372.4,0.0,6222.4,65.43,0.71,0.0
1977-04-04,9510,3370.2,0.0,6220.2,65.41,2.73,0.0
1977-04-05,9510,3356.99,0.0,6206.99,65.27,8.6,0.0
1977-04-06,9510,3350.39,0.0,6200.39,65.2,1.43,0.0
1977-04-07,9510,3337.2,0.0,6187.2,65.06,5.64,0.0
1977-04-08,9510,3323.99,0.0,6173.99,64.92,5.26,0.0
1977-04-09,9510,3304.2,0.0,6154.2,64.71,7.96,0.0
1977-04-10,9510,3282.2,0.0,6132.2,64.48,5.15,0.0
1977-04-11,9510,3262.4,0.0,6112.4,64.27,0.0,0.0
1977-04-12,9510,3242.59,0.0,6092.59,64.07,4.64,0.0
1977-04-13,9510,3229.4,0.0,6079.4,63.93,7.11,0.0
1977-04-14,9510,3211.8,0.0,6061.8,63.74,0.4,0.0
1977-04-15,9510,3185.4,0.0,6035.4,63.46,6.7,0.0
1977-04-16,9510,3161.2,0.0,6011.2,63.21,2.06,0.0
1977-04-17,9510,3150.2,0.0,6000.2,63.09,4.33,0.0
1977-04-18,9510,3117.2,0.0,5967.2,62.75,7.89,0.0
1977-04-19,9510,3092.99,0.0,5942.99,62.49,0.5,0.0
1977-04-20,9510,3066.13,0.0,5916.13,62.21,7.67,0.0
1977-04-21,9510,3037.99,0.0,5887.99,61.91,3.46,0.0
1977-04-22,9510,3007.2,0.0,5857.2,61.59,6.11,0.0
1977-04-23,9510,2985.2,0.0,5835.2,61.36,4.11,0.0
1977-04-24,9510,2974.2,0.0,5824.2,61.24,5.07,0.0
1977-04-25,9510,2943.62,0.0,5793.62,60.92,3.94,0.0
1977-04-26,9510,2911.75,0.0,5761.75,60.59,2.41,0.0
1977-04-27,9510,2877.75,0.0,5727.75,60.23,2.1,0.0
1977-04-28,9510,2839.5,0.0,5689.5,59.83,1.33,0.0
1977-04-29,9510,2803.37,0.0,5653.37,59.45,0.0,0.0
1977-04-30,9510,2769.37,0.0,5619.37,59.09,1.08,0.0
1977-05-01,9510,2756.62,0.0,5606.62,58.95,3.98,0.0
1977-05-02,9510,2745.99,0.0,5595.99,58.84,0.2,0.0
1977-05-03,9510,2720.5,0.0,5570.5,58.58,0.43,0.0
1977-05-04,9510,2690.75,0.0,5540.75,58.26,6.9,0.0
1977-05-05,9510,2673.75,0.0,5523.75,58.08,2.21,0.0
1977-05-06,9510,2650.37,0.0,5500.37,57.84,7.22,0.0
1977-05-07,9510,2633.37,0.0,5483.37,57.66,1.61,0.0
1977-05-08,9510,2624.87,0.0,5474.87,57.57,2.07,0.0
1977-05-09,9510,2616.37,0.0,5466.37,57.48,3.21,0.0
1977-05-10,9510,2595.12,0.0,5445.12,57.26,12.61,0.0
1977-05-11,9510,2569.62,0.0,5419.62,56.99,14.38,0.0
1977-05-12,9510,2548.37,0.0,5398.37,56.77,10.79,0.0
1977-05-13,9510,2529.25,0.0,5379.25,56.56,13.59,0.0
1977-05-14,9510,2509.99,0.0,5359.99,56.36,12.73,0.0
1977-05-15,9510,2502.5,0.0,5352.5,56.28,8.34,0.0
1977-05-16,9510,2479.99,0.0,5329.99,56.05,5.49,0.0
1977-05-17,9510,2461.25,0.0,5311.25,55.85,3.26,0.0
1977-05-18,9510,2436.87,0.0,5286.87,55.59,9.73,0.0
1977-05-19,9510,2412.5,0.0,5262.5,55.34,6.21,0.0
1977-05-20,9510,2389.99,0.0,5239.99,55.1,5.85,0.0
1977-05-21,9510,2367.5,0.0,5217.5,54.86,8.03,0.0
1977-05-22,9510,2352.5,0.0,5202.5,54.71,4.64,0.0
1977-05-23,9510,2337.5,0.0,5187.5,54.55,2.25,0.0
1977-05-24,9510,2324.37,0.0,5174.37,54.41,8.53,0.0
1977-05-25,9510,2303.75,0.0,5153.75,54.19,13.07,0.0
1977-05-26,9510,2284.99,0.0,5134.99,54.0,6.43,0.0
1977-05-27,9510,2264.37,0.0,5114.37,53.78,9.53,0.0
1977-05-28,9510,2247.5,0.0,5097.5,53.6,8.45,0.0
1977-05-29,9510,2239.99,0.0,5089.99,53.52,8.56,0.0
1977-05-30,9510,2219.37,0.0,5069.37,53.31,5.33,0.0
1977-05-31,9510,2200.62,0.0,5050.62,53.11,6.81,0.0
1977-06-01,9510,2191.25,0.0,5041.25,53.01,8.25,0.0
1977-06-02,9510,2174.37,0.0,5024.37,52.83,4.38,0.0
1977-06-03,9510,2150.0,0.0,5000.0,52.58,8.65,0.0
1977-06-04,9510,2134.25,0.0,4984.25,52.41,4.08,0.0
1977-06-05,9510,2125.5,0.0,4975.5,52.32,9.5,0.0
1977-06-06,9510,2113.25,0.0,4963.25,52.19,5.2,0.0
1977-06-07,9510,2088.75,0.0,4938.75,51.93,10.33,0.0
1977-06-08,9510,2060.75,0.0,4910.75,51.64,4.93,0.0
1977-06-09,9510,2034.5,0.0,4884.5,51.36,2.99,0.0
1977-06-10,9510,2006.5,0.0,4856.5,51.07,7.19,0.0
1977-06-11,9510,1988.99,0.0,4838.99,50.88,3.93,0.0
1977-06-12,9510,1978.5,0.0,4828.5,50.77,5.36,0.0
1977-06-13,9510,1959.25,0.0,4809.25,50.57,4.7,0.0
1977-06-14,9510,1936.5,0.0,4786.5,50.33,7.34,0.0
1977-06-15,9510,1922.5,0.0,4772.5,50.18,3.23,0.0
1977-06-16,9510,1903.25,0.0,4753.25,49.98,6.87,0.0
1977-06-17,9510,1887.5,0.0,4737.5,49.82,3.98,0.0
1977-06-18,9510,1869.99,0.0,4719.99,49.63,7.35,0.0
1977-06-19,9510,1861.25,0.0,4711.25,49.54,4.55,0.0
1977-06-20,9510,1834.99,0.0,4684.99,49.26,5.86,0.0
1977-06-21,9510,1808.75,0.0,4658.75,48.99,2.76,0.0
1977-06-22,9510,1786.4,0.0,4636.4,48.75,5.57,0.0
1977-06-23,9510,1757.5,0.0,4607.5,48.45,2.95,0.0
1977-06-24,9510,1731.99,0.0,4581.99,48.18,1.93,0.0
1977-06-25,9510,1703.1,0.0,4553.1,47.88,3.11,0.0
1977-06-26,9510,1687.8,0.0,4537.8,47.72,2.83,0.0
1977-06-27,9510,1662.3,0.0,4512.3,47.45,3.37,0.0
1977-06-28,9510,1638.5,0.0,4488.5,47.2,4.49,0.0
1977-06-29,9510,1612.99,0.0,4462.99,46.93,5.85,0.0
1977-06-30,9510,1594.3,0.0,4444.3,46.73,3.18,0.0
1977-07-01,9510,1573.9,0.0,4423.9,46.52,2.16,0.0
1977-07-02,9510,1558.13,0.0,4408.13,46.35,5.37,0.0
1977-07-03,9510,1548.39,0.0,4398.39,46.25,8.79,0.0
1977-07-04,9510,1529.7,0.0,4379.7,46.05,12.0,0.0
1977-07-05,9510,1512.7,0.0,4362.7,45.87,8.16,0.0
1977-07-06,9510,1495.7,0.0,4345.7,45.7,7.44,0.0
1977-07-07,9510,1478.7,0.0,4328.7,45.52,6.4,0.0
1977-07-08,9510,1453.8,0.0,4303.8,45.26,7.23,0.0
1977-07-09,9510,1436.75,0.0,4286.75,45.08,4.76,0.0
1977-07-10,9510,1430.55,0.0,4280.55,45.01,9.91,0.0
1977-07-11,9510,1415.05,0.0,4265.05,44.85,15.25,0.0
1977-07-12,9510,1399.55,0.0,4249.55,44.69,9.42,0.0
1977-07-13,9510,1380.95,0.0,4230.95,44.49,8.11,0.0
1977-07-14,9510,1368.55,0.0,4218.55,44.36,5.42,0.0
1977-07-15,9510,1353.05,0.0,4203.05,44.2,9.07,0.0
1977-07-16,9510,1340.65,0.0,4190.65,44.07,7.37,0.0
1977-07-17,9510,1337.55,0.0,4187.55,44.03,11.13,0.0
1977-07-18,9510,1331.35,0.0,4181.35,43.97,18.08,0.0
1977-07-19,9510,1323.6,0.0,4173.6,43.89,19.38,0.0
1977-07-20,9510,1317.4,0.0,4167.4,43.82,16.5,0.0
1977-07-21,9510,1303.45,0.0,4153.45,43.67,17.32,0.0
1977-07-22,9510,1297.25,0.0,4147.25,43.61,15.19,0.0
1977-07-23,9510,1298.8,0.0,4148.8,43.63,20.74,0.0
1977-07-24,9510,1305.0,0.0,4155.0,43.69,26.27,0.0
1977-07-25,9510,1312.75,0.0,4162.75,43.77,23.24,0.0
1977-07-26,9510,1314.3,0.0,4164.3,43.79,31.68,0.0
1977-07-27,9510,1308.1,0.0,4158.1,43.72,22.62,0.0
1977-07-28,9510,1301.9,0.0,4151.9,43.66,21.21,0.0
1977-07-29,9510,1298.8,0.0,4148.8,43.63,18.97,0.0
1977-07-30,9510,1320.5,0.0,4170.5,43.85,21.98,0.0
1977-07-31,9510,1382.5,0.0,4232.5,44.51,40.67,0.0
1977-08-01,9510,1444.5,0.0,4294.5,45.16,79.99,0.0
1977-08-02,9510,1468.5,0.0,4318.5,45.41,80.87,0.0
1977-08-03,9510,1514.4,0.0,4364.4,45.89,50.5,0.0
1977-08-04,9510,1555.2,0.0,4405.2,46.32,67.28,0.0
1977-08-05,9510,1573.9,0.0,4423.9,46.52,59.73,0.0
1977-08-06,9510,1589.2,0.0,4439.2,46.68,43.46,0.0
1977-08-07,9510,1597.7,0.0,4447.7,46.77,37.84,0.0
